Rank,Name,Model,URL,Score,CoLA,SST-2,MRPC,STS-B,QQP,MNLI-m,MNLI-mm,QNLI,RTE,WNLI,AX
15,Microsoft D365 AI & MSR AI,MT-DNN-ensemble,,87.6,68.4,96.5,92.7/90.3,91.1/90.7,73.7/89.9,87.9,87.4,96,86.3,89,42.8
16,GLUE Human Baselines,GLUE Human Baselines,,87.1,66.4,97.8,86.3/80.8,92.7/92.6,59.5/80.4,92,92.8,91.2,93.6,95.9,76.6
17,kk xx,ELECTRA-Large-NewSCL(single),,85.6,73.3,97.2,92.7/90.2,92.0/91.7,75.3/90.6,90.8,90.3,95.6,86.9,60.3,50
18,Adrian de Wynter,Bort (Alexa AI),,83.6,63.9,96.2,94.1/92.3,89.2/88.3,66.0/85.9,88.1,87.8,92.3,82.7,71.2,51.9
19,Lab LV,ConvBERT base,,83.2,67.8,95.7,91.4/88.3,90.4/89.7,73.0/90.0,88.3,87.4,93.2,77.9,65.1,42.9
20,Stanford Hazy Research,Snorkel MeTaL,,83.2,63.8,96.2,91.5/88.5,90.1/89.7,73.1/89.9,87.6,87.2,93.9,80.9,65.1,39.9
21,XLM Systems,XLM (English only),,83.1,62.9,95.6,90.7/87.1,88.8/88.2,73.2/89.8,89.1,88.5,94,76,71.9,44.7
22,WATCH ME,ConvBERT-base-paddle-v1.1,,83.1,66.3,95.4,91.6/88.6,90.0/89.2,73.9/90.0,88.2,87.7,93.3,78.2,65.1,9.2
23,Zhuosheng Zhang,SemBERT,,82.9,62.3,94.6,91.2/88.3,87.8/86.7,72.8/89.8,87.6,86.3,94.6,84.5,65.1,42.4
24,Jun Yu,mpnet-base-paddle,,82.9,60.5,95.9,91.6/88.9,90.8/90.3,72.5/89.7,87.6,86.6,93.3,82.4,65.1,9.2
25,Danqi Chen,SpanBERT (single-task training),,82.8,64.3,94.8,90.9/87.9,89.9/89.1,71.9/89.5,88.1,87.7,94.3,79,65.1,45.1
26,Xuanli He,distilRoBERTa+GAL (6-layer transformer single model),,82.7,60,95.3,91.9/89.2,90.0/89.6,73.3/90.0,87.4,86.5,92.7,81.8,65.1,0
27,Kevin Clark,BERT + BAM,,82.3,61.5,95.2,91.3/88.3,88.6/87.9,72.5/89.7,86.6,85.8,93.1,80.4,65.1,40.7
28,Nitish Shirish Keskar,Span-Extractive BERT on STILTs,,82.3,63.2,94.5,90.6/87.6,89.4/89.2,72.2/89.4,86.5,85.8,92.5,79.8,65.1,28.3
29,LV NUS,LV-BERT-base,,82.1,64,94.7,90.9/87.9,89.4/88.8,72.3/89.5,86.6,86.1,92.6,77,65.1,39.5
30,Jason Phang,BERT on STILTs,,82,62.1,94.3,90.2/86.6,88.7/88.3,71.9/89.4,86.4,85.6,92.7,80.1,65.1,28.3
31,gao jie,1,,82,66.8,96.5,90.9/87.2,91.4/90.8,72.9/89.6,90.2,56.4,94.7,82.8,62.3,9.2
32,Gino Tesei,RobustRoBERTa,,81.9,63.6,96.8,91.6/88.6,90.3/89.6,73.2/89.7,90,89.4,95.1,50.3,80.1,50.5
33,Karen Hambardzumyan,WARP with RoBERTa,,81.6,53.9,96.3,88.2/83.9,89.5/88.8,68.6/87.7,88,88.2,93.5,84.3,65.1,41.2
34,Huawei Noah's Ark Lab MTL,"CombinedKD-TinyRoBERTa (6 layer 82M parameters, MATE-KD + AnnealingKD)",,81.5,58.6,95.1,91.2/88.1,88.5/88.4,73.0/89.7,86.2,85.6,92.4,76.6,65.1,20.2
35,Richard Bai,segaBERT-large,,81.4,62.6,94.8,89.7/86.1,88.6/87.7,72.5/89.4,87.9,87.7,94,71.6,65.1,0
36,廖亿,u-PMLM-R (Huawei Noah's Ark Lab),,81.3,56.9,94.2,90.7/87.7,89.7/89.1,72.2/89.4,86.1,85.4,92.1,78.5,65.1,40
37,Xinsong Zhang,AMBERT-BASE,,81,60,95.2,90.6/87.1,86.3/88.2,72.2/89.5,87.2,86.5,92.6,72.6,65.1,39.4
38,Mikita Sazanovich,Routed BERTs,,80.7,56.1,93.6,88.6/84.7,88.0/87.6,71.0/88.8,85.2,84.5,92.6,80,65.1,9.2
39,USCD-AI4Health Team,CERT,,80.7,58.9,94.6,89.8/85.9,87.9/86.8,72.5/90.3,87.2,86.4,93,71.2,65.1,39.6
40,Jacob Devlin,"BERT: 24-layers, 16-heads, 1024-hidden",,80.5,60.5,94.9,89.3/85.4,87.6/86.5,72.1/89.3,86.7,85.9,92.7,70.1,65.1,39.6
41,Yoshitomo Matsubara,HF bert-large-uncased (default fine-tuning),,80.2,61.5,94.6,89.2/85.2,86.4/85.0,72.2/89.3,86.4,85.7,92.4,68.9,65.1,36.9
42,Neil Houlsby,BERT + Single-task Adapters,,80.2,59.2,94.3,88.7/84.3,87.3/86.1,71.5/89.4,85.4,85,92.4,71.6,65.1,9.2
43,KI BERT,KI-BERT,,80,55.6,94.5,88.2/83.9,86.3/85.1,71.5/88.9,85.2,83.7,91.2,69.3,73.3,35.6
44,Xiangyang Liu,elasticbert-large-12L,,79.9,57,92.9,89.4/86.0,89.7/88.6,72.7/89.6,85.4,84.9,92.3,71.8,62.3,9.2
45,刘向阳,roberta-large-12L,,79.8,59.4,94.6,89.1/85.8,89.8/89.1,71.5/89.4,86.4,85.2,91.6,67.3,62.3,9.2
46,Zhuohan Li,Macaron Net-base,,79.7,57.6,94,88.4/84.4,87.5/86.3,70.8/89.0,85.4,84.5,91.6,70.5,65.1,38.7
47,Anshuman Singh,Bert-n-Pals,,79.1,52.2,93.4,89.5/85.6,86.6/85.9,71.4/89.0,84.1,83.5,90.6,75.4,62.3,33.8
48,ANSHUMAN SINGH (RA1811003010460),DeepPavlov Multitask PalBert,,78.8,48.1,93.4,88.9/85.6,87.0/86.7,71.4/89.0,83.9,83.4,90.8,76.7,62.3,33.8
49,xiaok Liu,BERT-EMD(6-layer; Single model; No DA),,78.7,47.5,93.3,89.8/86.4,87.6/86.8,72.0/89.3,84.7,83.5,90.7,71.7,65.1,9.2
50,蘇大鈞,SesameBERT-Base,,78.6,52.7,94.2,88.9/84.8,86.5/85.5,70.8/88.8,83.7,83.6,91,67.6,65.1,35.8
51,MobileBERT Team,MobileBERT,,78.5,51.1,92.6,88.8/84.5,86.2/84.8,70.5/88.3,84.3,83.4,91.6,70.4,65.1,34.3
52,Linyuan Gong,StackingBERT-Base,,78.4,56.2,93.9,88.2/83.9,84.2/82.5,70.4/88.7,84.4,84.2,90.1,67,65.1,36.6
53,TinyBERT Team,TinyBERT (6-layer; Single model),,78.1,51.1,93.1,87.3/82.6,85.0/83.7,71.6/89.1,84.6,83.2,90.4,70,65.1,9.2
54,SqueezeBERT Team,SqueezeBERT (4.3x faster than BERT-base on smartphone),,78.1,46.5,91.4,89.5/86.0,87.0/86.3,71.5/89.0,82,81.1,90.1,73.2,65.1,35.3
55,Anshuman Singh,CAMTL,,77.9,53,92.6,88.3/84.4,86.6/85.9,70.0/88.5,82.3,82,90.5,72.8,58.2,33.8
56,NLC MSR Asia,BERT-of-Theseus (6-layer; single model),,77.1,47.8,92.2,87.6/83.2,85.6/84.1,71.6/89.3,82.4,82.1,89.6,66.2,65.1,9.2
57,YeonTaek Oh,"EL-BERT(6-Layer, Single model)",,75.6,47.7,91,87.8/83.0,81.2/80.2,69.9/88.1,81.8,81,90.2,59.9,65.1,31.8
58,Sinx,ZHIYUAN,,74.1,57,95.2,91.4/88.4,91.1/90.8,24.2/23.7,87.7,87.3,92.5,81.7,47.9,0.3
59,Tirana Noor Fatyanosa,distilbert-base-uncased,,73.6,45.8,92.3,87.6/83.1,71.0/71.0,69.6/88.2,81.6,81.3,88.8,54.1,65.1,31.8
60,Haiqin YANG,RefBERT,,73.1,47.9,92.9,86.9/81.9,75.0/76.3,61.6/84.4,80.9,80.3,87.3,61.7,54.8,-10.3
61,Haiqin Yang,RefBERT,,73.1,47.9,92.9,86.9/81.9,75.0/76.3,61.4/84.2,80.9,80.3,87.3,61.7,54.8,-10.3
62,Haiqin Yang,RefBERT,,71.8,36.3,92.9,86.9/81.9,75.0/76.3,61.6/84.4,80.9,80.3,87.3,61.7,54.8,12.2
63,Haiqin Yang,RefBERT,,71.8,36.3,92.9,86.9/81.9,75.0/76.3,61.4/84.2,80.9,80.3,87.3,61.7,54.8,-10.3
64,Jack Hessel,Bag-of-words only BoW-BERT (Base),,70,14.3,86.7,82.9/75.2,81.8/80.3,68.3/87.5,79.8,79.7,86.2,60.4,65.1,31
65,GLUE Baselines,BiLSTM+ELMo+Attn,,70,33.6,90.4,84.4/78.0,74.2/72.3,63.1/84.3,74.1,74.5,79.8,58.9,65.1,21.7
,,BiLSTM+ELMo,,67.7,32.1,89.3,84.7/78.0,70.3/67.8,61.1/82.6,67.2,67.9,75.5,57.4,65.1,21.3
,,Single Task BiLSTM+ELMo+Attn,,66.5,35,90.2,80.2/68.8,55.5/52.5,66.1/86.5,76.9,76.7,76.7,50.3,65.1,27.9
,,Single Task BiLSTM+ELMo,,66.4,35,90.2,80.8/69.0,64.0/60.2,65.6/85.7,72.9,73.4,71.7,50.1,65.1,19.5
,,GenSen,,66.1,7.7,83.1,83.0/76.6,79.3/79.2,59.8/82.9,71.4,71.3,78.6,59.2,65.1,20.6
,,BiLSTM+Attn,,65.6,18.6,83,83.9/76.2,72.8/70.5,60.1/82.4,67.6,68.3,74.3,58.4,65.1,17.8
,,BiLSTM,,64.2,11.6,82.8,81.8/74.3,70.3/67.8,62.5/84.2,65.6,66.1,74.6,57.4,65.1,20.3
,,InferSent,,63.9,4.5,85.1,81.2/74.1,75.9/75.3,59.1/81.7,66.1,65.7,72.7,58,65.1,18.3
,,Single Task BiLSTM,,63.7,15.7,85.9,79.4/69.3,66.0/62.8,61.4/81.7,70.3,70.8,75.7,52.8,62.3,21
,,Single Task BiLSTM+CoVe,,63.6,14.5,88.5,81.4/73.4,67.2/64.1,59.4/83.3,64.5,64.8,75.4,53.5,61.6,20.6
,,BiLSTM+CoVe+Attn,,63.1,8.3,80.7,80.0/71.8,69.8/68.4,60.5/83.4,68.1,68.6,72.9,56,65.1,18.3
,,Single Task BiLSTM+CoVe+Attn,,63.1,14.5,88.5,79.7/68.6,57.2/53.6,60.1/84.1,71.6,71.5,74.5,52.7,64.4,23.8
,,BiLSTM+CoVe,,62.9,18.5,81.9,78.7/71.5,64.4/62.7,60.6/84.9,65.4,65.7,70.8,52.7,65.1,17.6
,,Single Task BiLSTM+Attn,,62.8,15.7,85.9,80.3/68.5,59.3/55.8,62.9/83.5,74.2,73.8,77.2,51.9,55.5,24.9
,,DisSent,,61.9,4.9,83.7,81.7/74.1,66.1/64.8,59.5/82.6,58.7,59.1,73.9,56.4,65.1,15.9
,,Skip-Thought,,61.3,0,81.8,80.8/71.7,71.8/69.7,56.4/82.2,62.9,62.8,72.9,53.1,65.1,12.2
,,CBOW,,58.6,0,80,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,72.1,54.1,62.3,9.2
66,Richard Wang,BERT_mini_AdaBelief_weight_decay,,69,25,87.1,80.7/71.7,79.0/76.8,66.7/86.5,76.4,75.8,84.2,61.2,56.2,28.5
67,rob van der goot,"MaChAmp (bert-large, single task)",,67.6,53.7,92.5,87.2/82.7,NaN/99.8,69.1/87.5,83.9,82.7,90.8,60,65.1,37.5
68,沈泽皓,SemBERT_large,,66.3,54.4,93.5,87.7/83.1,61.2/58.7,72.1/89.3,56,56.4,50.4,54,62.3,9.2
69,Tomlinn Tamaup,cai,,65.3,51.4,93.4,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,71.1,62.3,9.2
70,文杰,force_SEM,,64.8,53.6,80,88.6/84.1,61.2/58.7,51.4/79.1,56,56.4,50.4,69,62.3,9.2
71,Anjing Gong,Force_SEM_BERT,,64.7,53.4,80,88.3/83.8,61.2/58.7,51.4/79.1,56,56.4,50.4,69,62.3,9.2
72,xingxing liu,force_SEM,,64.7,53.5,80,88.2/83.3,61.2/58.7,51.4/79.1,56,56.4,50.4,69,62.3,9.2
73,Jiajia Ke,force_SEM,,64.5,52.5,80,88.3/83.8,61.2/58.7,51.4/79.1,56,56.4,50.4,68.2,62.3,9.2
74,Anthony Fugate,wonker,,60.6,0,93.4,89.2/85.0,61.2/58.7,51.4/79.1,56,56.4,50.4,71.1,62.3,9.2
75,xiao Lin,lfhc-16,,60.1,12.6,85.3,81.5/73.4,61.2/58.7,59.8/82.2,56,56.4,62,54.1,62.3,9.2
76,魏靖烜,jingxuan,,59.6,0,93.4,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,71.2,62.3,9.2
77,Carmelita Imperatore,jingxuan2e3,,59.5,0,93.4,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,70.5,62.3,9.2
78,jingxuan wei,weijingxuan2e5,,59.4,0,93.4,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,69.3,62.3,9.2
79,Antoine Nzeyimana,morpho_attentive 05/17/2021,,57.1,0,80,84.2/77.9,61.2/58.7,51.4/79.1,56,56.4,50.4,59.1,62.3,9.2
80,Marcel M,distilbert-base-uncased-flair,,57,0,80,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,61.2,62.3,9.2
81,张万通,zhang,,56.2,0,80,81.5/73.4,61.2/58.7,51.4/79.1,56,56.4,50.4,54.1,62.3,9.2
82,焦阳,QQP,,52,0,80,81.5/73.4,61.2/58.7,31.7/24.3,56,56.4,50.4,54.1,62.3,9.2
83,XLNet Team,XLNet (ensemble),,-,70.2,97.1,92.9/90.5,93.0/92.6,74.7/90.4,90.9,90.9,-,88.5,92.5,48.4
84,ALBERT-Team Google Language,ALBERT (Ensemble),,-,69.1,97.1,93.4/91.2,92.5/92.0,74.2/90.5,91.3,91,-,89.2,91.8,50.2
